Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,124.81,-88.8,0.0,top
C10,1uF,C_0402_1005Metric,110.0252,-95.68,-90.0,top
C11,100n,C_0402_1005Metric,105.1,-95.57,-90.0,top
C12,100n,C_0402_1005Metric,100.9352,-90.879,180.0,top
C13,100n,C_0402_1005Metric,104.9152,-85.199,90.0,top
C14,100n,C_0402_1005Metric,111.98,-86.75,0.0,top
C15,100n,C_0402_1005Metric,111.9552,-90.774,0.0,top
C2,10uF,C_0402_1005Metric,114.15,-95.64,-90.0,top
C3,100n,C_0402_1005Metric,113.16,-95.63,-90.0,top
C4,10pF,C_0402_1005Metric,98.7852,-89.404,180.0,top
C5,10pF,C_0402_1005Metric,96.8552,-89.394,0.0,top
C6,100n,C_0402_1005Metric,111.9502,-89.799,0.0,top
C7,100n,C_0402_1005Metric,100.9352,-91.854,180.0,top
C8,1uF,C_0402_1005Metric,111.9552,-93.774,0.0,top
C9,100n,C_0402_1005Metric,108.9802,-95.674,-90.0,top
D1,D_Schottky,D_SOD-123,124.95,-85.7,90.0,top
J1,D0-D14,PinHeader_1x15_P2.54mm_Vertical,106.5,-79.2,270.0,bottom
J2,D15-D29,PinHeader_1x15_P2.54mm_Vertical,106.49,-99.8,90.0,bottom
J3,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,135.815,-90.63,90.0,top
J5,PWR-Supply,PinHeader_1x04_P2.54mm_Vertical,133.75,-99.87,270.0,bottom
R1,1k,R_0402_1005Metric,112.01,-85.74,180.0,top
R2,1k,R_0402_1005Metric,100.9552,-89.879,180.0,top
R3,27,R_0402_1005Metric,111.9402,-91.774,180.0,top
R4,27,R_0402_1005Metric,111.9402,-92.774,180.0,top
R5,DNF,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,112.37,-84.26,180.0,top
R6,10k,R_0402_1005Metric,100.9252,-92.854,0.0,top
R7,5.1k,R_0402_1005Metric,131.2,-92.48,90.0,top
R8,5.1k,R_0402_1005Metric,131.175,-88.7,-90.0,top
SW1,BOOT_SEL,SW_Push_1P1T_XKB_TS-1187A,91.46,-85.98,0.0,top
SW2,RESET,SW_Push_1P1T_XKB_TS-1187A,91.52,-91.76,180.0,top
U1,RP2040,QFN56P40_700X700X90L40X18T310N,106.1,-90.375,180.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,119.22,-92.7925,180.0,top
U4,W25Q16JVSS,SOIC-8_5.23x5.23mm_P1.27mm,118.98,-86.18,0.0,top
Y1,X322512MSB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,97.8052,-91.634,0.0,top
